Bias Voltage[V],Measured Voltage[V],Measured Capacitance[pF],Capacitance^{-2}[pF]^{-2},Monitoring Current[A]
0.0,0.0,134.5908058,5.52038304654e-05,6.513577e-08
-0.5,-0.5,119.2815626,7.02834967537e-05,-1.384798e-07
-1.0,-1.0,112.7018082,7.87296339223e-05,-1.772082e-07
-1.5,-1.5,108.4144016,8.5079718819e-05,-1.619625e-07
-2.0,-2.0,105.6921326,8.95188878613e-05,-1.571669e-07
-2.5,-2.5,103.1063878,9.40651723694e-05,-1.621458e-07
-3.0,-3.0,101.4585211,9.71455574759e-05,-1.637575e-07
-3.5,-3.5,99.98020101,0.000100039609743,-1.534358e-07
-4.0,-4.0,98.38671696,0.000103306360628,-1.553228e-07
-4.5,-4.5,97.4016469,0.000105406501652,-1.483039e-07
-5.0,-5.0,96.40983192,0.000107586393298,-1.561759e-07
-5.5,-5.5,95.80307412,0.000108953480984,-1.533702e-07
-6.5,-6.5,93.8672983,0.000113493597845,-1.58157e-07
-7.5,-7.5,92.77972884,0.000116169949934,-1.653802e-07
-8.5,-8.5,91.72887878,0.000118846892274,-1.755574e-07
-9.5,-9.5,90.84167013,0.000121179673966,-1.667271e-07
-10.5,-10.5,90.0356359,0.00012335908163,-1.703888e-07
-11.5,-11.5,89.29153103,0.000125423657383,-1.843557e-07
-12.5,-12.5,88.79287151,0.000126836368156,-1.941992e-07
-13.5,-13.5,87.91720409,0.000129375566145,-1.918916e-07
-14.5,-14.5,87.30401683,0.00013119930914,-1.806362e-07
-15.5,-15.5,86.88253357,0.000132475341075,-1.94585e-07
-16.5,-16.5,86.34048866,0.000134143920652,-2.048383e-07
-17.5,-17.5,85.80270021,0.000135830747091,-2.111108e-07
-18.5,-18.5,85.27813182,0.000137506948512,-1.795824e-07
-19.5,-19.5,84.94879402,0.000138575216084,-1.822624e-07
-20.5,-20.5,84.55167902,0.000139879969067,-1.707907e-07
-21.5,-21.5,84.13711,0.00014126182705,-1.778874e-07
-22.5,-22.5,83.78315377,0.000142457917656,-1.796293e-07
-23.5,-23.5,83.3264739,0.000144023709129,-2.134513e-07
-24.5,-24.5,82.95260098,0.000145324883753,-1.980744e-07
-25.5,-25.5,82.67596601,0.000146299029081,-1.775142e-07
-26.5,-26.5,82.15632594,0.000148155569272,-1.870658e-07
-27.5,-27.5,81.84537411,0.000149283470767,-1.90454e-07
-28.5,-28.5,81.45600002,0.000150714084707,-1.828735e-07
-29.5,-29.5,81.07210178,0.000152144807711,-1.974045e-07
-30.5,-30.5,80.76289958,0.000153312015995,-2.077988e-07
-31.5,-31.5,80.39595019,0.000154714726918,-2.015023e-07
-32.5,-32.5,80.04490925,0.00015607472085,-1.871484e-07
-33.5,-33.5,79.69032534,0.000157466726877,-2.014666e-07
-34.5,-34.5,79.3024541,0.00015901084502,-2.118353e-07
-35.5,-35.5,78.93334251,0.000160501469255,-2.14333e-07
-36.5,-36.5,78.53993976,0.000162113384326,-1.932198e-07
-37.5,-37.5,78.10959959,0.000163904613106,-2.141317e-07
-38.5,-38.5,77.67820071,0.000165730211819,-2.023135e-07
-39.5,-39.5,77.21585037,0.000167720860809,-2.052839e-07
-40.5,-40.5,76.71777998,0.000169905698929,-2.061508e-07
-41.5,-41.5,76.18831885,0.000172275380849,-1.929401e-07
-42.5,-42.5,75.59695036,0.000174981223088,-1.934125e-07
-43.5,-43.5,74.93188674,0.000178101125503,-2.133843e-07
-44.5,-44.5,74.19039462,0.000181678961102,-1.911718e-07
-45.5,-45.5,73.30687205,0.00018608468098,-2.026648e-07
-46.5,-46.5,72.22043227,0.000191725479644,-2.038933e-07
-47.5,-47.5,70.82924477,0.000199330968937,-2.014704e-07
-48.5,-48.5,68.81564489,0.000211166796614,-1.942212e-07
-49.5,-49.5,65.38745244,0.000233889737089,-1.973231e-07
-49.6,-49.6,64.95768797,0.000236994835726,-2.215227e-09
-49.7,-49.7,64.38275842,0.000241246399614,2.002205e-09
-49.8,-49.8,63.8299584,0.000245443128082,1.205126e-08
-49.9,-49.9,63.09213198,0.000251217328975,1.371223e-08
-50.0,-50.0,62.41049128,0.000256734833634,1.243106e-08
-50.1,-50.1,61.45763434,0.000264757530567,4.894543e-09
-50.2,-50.2,60.56298677,0.00027263739906,1.91378e-09
-50.3,-50.3,59.51973948,0.000282278601259,1.024006e-08
-50.4,-50.4,57.99640131,0.00029730205241,1.917903e-08
-50.5,-50.5,56.43441676,0.000313987181146,3.746725e-08
-50.6,-50.6,54.04238618,0.00034239780106,1.066174e-08
-50.7,-50.7,51.4431207,0.000377872587311,3.215127e-08
-50.8,-50.8,47.30143963,0.000446942117685,1.541883e-08
-50.9,-50.9,42.27114939,0.000559644044214,1.921764e-08
-51.0,-51.0,34.7233815,0.000829384617415,2.570996e-08
-51.1,-51.1,27.97688069,0.00127761916687,2.956292e-08
-51.2,-51.2,20.7610568,0.0023200699911,3.601656e-08
-51.3,-51.3,16.77994133,0.00355155973783,2.173185e-08
-51.4,-51.4,13.90524379,0.00517181266281,2.272754e-08
-51.5,-51.5,12.41126158,0.00649184500243,3.428147e-08
-51.6,-51.6,11.18250599,0.00799690102707,2.179797e-08
-51.7,-51.7,10.42433554,0.0092024451141,3.675921e-08
-51.8,-51.8,9.811934095,0.010387014911,3.600961e-08
-51.9,-51.9,9.212313378,0.0117831822206,9.17155e-09
-52.0,-52.0,8.791576991,0.0129379787217,3.366409e-08
-52.1,-52.1,8.364094374,0.0142942755976,2.06742e-09
-53.1,-53.1,6.245005584,0.0256409633505,-1.726549e-07
-54.1,-54.1,5.310842172,0.0354546505789,-1.86092e-07
-55.1,-55.1,4.745995295,0.0443961585113,-1.766213e-07
-56.1,-56.1,4.390001474,0.0518884464316,-1.839986e-07
-57.1,-57.1,4.173531989,0.0574106556641,-1.882805e-07
-58.1,-58.1,4.07089954,0.0603419345788,-2.116588e-07
-59.1,-59.1,4.021517376,0.0618329690956,-1.888689e-07
-60.1,-60.1,3.996516007,0.0626090171912,-1.913855e-07
-61.1,-61.1,3.984248169,0.0629951677196,-1.943995e-07
-62.1,-62.1,3.974580556,0.0633019943461,-1.944198e-07
-63.1,-63.1,3.967692426,0.063521976546,-2.07039e-07
-64.1,-64.0,3.965602485,0.0635889485466,-2.137174e-07
-65.1,-65.0,3.96106805,0.0637346188501,-2.107841e-07
-66.1,-66.1,3.956431992,0.0638840719467,-2.255673e-07
-67.1,-67.1,3.952831805,0.0640004944786,-2.234538e-07
-68.1,-68.1,3.951179666,0.0640540277666,-2.230908e-07
-69.1,-69.1,3.947730541,0.0641660044374,-3.04377e-07
