Bias Voltage[V],Measured Voltage[V],Measured Capacitance[pF],Capacitance^{-2}[pF]^{-2},Monitoring Current[A]
0.0,0.0,133.6299863,5.6000531929e-05,6.874914e-08
-0.5,-0.5,119.0920363,7.05073768864e-05,-1.548845e-07
-1.0,-1.0,112.3270002,7.92559139428e-05,-1.676207e-07
-1.5,-1.5,108.1745577,8.54574134242e-05,-1.491191e-07
-2.0,-2.0,105.1897477,9.03760119366e-05,-1.32466e-07
-2.5,-2.5,103.2094327,9.38774357006e-05,-1.550253e-07
-3.0,-3.0,101.2699588,9.75076597974e-05,-1.501346e-07
-3.5,-3.5,99.67622123,0.000100650716153,-1.390634e-07
-4.0,-4.0,98.23079291,0.000103634582155,-1.520611e-07
-4.5,-4.5,97.16446043,0.000105921741703,-1.558928e-07
-5.0,-5.0,96.13071171,0.000108212064995,-1.422816e-07
-5.5,-5.5,95.48223879,0.000109686912783,-1.534277e-07
-6.5,-6.5,94.08501111,0.00011296895696,-1.82706e-07
-7.5,-7.5,92.69931373,0.000116371588346,-1.970726e-07
-8.5,-8.5,91.794432,0.000118677208461,-1.700554e-07
-9.5,-9.5,90.94314426,0.000120909400889,-1.537382e-07
-10.5,-10.5,90.11337169,0.000123146343401,-1.792678e-07
-11.5,-11.5,89.18502524,0.000125723401023,-1.745111e-07
-12.5,-12.5,88.55782668,0.000127510544491,-1.888643e-07
-13.5,-13.5,87.98926955,0.000129163729142,-1.5927e-07
-14.5,-14.5,87.28981992,0.000131241989403,-1.927449e-07
-15.5,-15.5,87.09219741,0.000131838272388,-1.870478e-07
-16.5,-16.5,86.54268191,0.000133517840887,-1.78058e-07
-17.5,-17.5,85.98326069,0.000135260870736,-1.864934e-07
-18.5,-18.5,85.5337605,0.000136686262193,-1.955723e-07
-19.5,-19.5,85.04709333,0.000138255064615,-1.844452e-07
-20.5,-20.5,84.60264511,0.000139711487627,-2.012176e-07
-21.5,-21.5,84.21345272,0.000141005824629,-1.88721e-07
-22.5,-22.5,83.9143366,0.000142012858418,-1.786993e-07
-23.5,-23.5,83.59849638,0.000143087951961,-1.70209e-07
-24.5,-24.5,83.08208794,0.000144872246758,-1.90754e-07
-25.5,-25.5,82.84805007,0.000145691903517,-1.96233e-07
-26.5,-26.5,82.35615976,0.00014743745483,-1.760041e-07
-27.5,-27.5,82.1067121,0.000148334672475,-1.795819e-07
-28.5,-28.5,81.81135153,0.0001494076605,-1.825247e-07
-29.5,-29.5,81.4663514,0.000150675786695,-2.042487e-07
-30.5,-30.5,81.10427741,0.000152024114102,-2.092221e-07
-31.5,-31.5,80.76772613,0.000153293693182,-1.86689e-07
-32.5,-32.5,80.43373073,0.000154569418896,-1.788243e-07
-33.5,-33.5,80.1166272,0.0001557954193,-1.907549e-07
-34.5,-34.5,79.76676043,0.000157165092042,-2.074214e-07
-35.5,-35.5,79.42088485,0.000158536971356,-2.194642e-07
-36.5,-36.5,79.06413082,0.000159970903665,-1.779188e-07
-37.5,-37.5,78.69862133,0.000161460298628,-1.849678e-07
-38.5,-38.5,78.3246611,0.000163005760063,-1.915896e-07
-39.5,-39.5,77.93140247,0.000164655035187,-1.896793e-07
-40.5,-40.5,77.5156998,0.000166425800949,-2.085502e-07
-41.5,-41.5,77.08666473,0.000168283481652,-2.144795e-07
-42.5,-42.5,76.62410375,0.000170321386777,-1.926491e-07
-43.5,-43.5,76.12428766,0.000172565318195,-1.849898e-07
-44.5,-44.5,75.59276445,0.000175000602613,-1.869121e-07
-45.5,-45.5,74.99529609,0.000177800079894,-2.094489e-07
-46.5,-46.5,74.3230779,0.000181030865139,-2.176595e-07
-47.5,-47.5,73.55891717,0.000184811650202,-1.946779e-07
-48.5,-48.5,72.6326814,0.000189555262146,-1.755956e-07
-49.5,-49.5,71.46631972,0.000195793001482,-1.980804e-07
-50.5,-50.5,69.94225964,0.000204418728166,-1.914399e-07
-51.5,-51.5,67.63760293,0.000218586624867,-2.274207e-07
-52.5,-52.5,63.36973449,0.000249021144614,-2.168345e-07
-52.6,-52.6,62.78812733,0.000253655883038,1.928608e-08
-52.7,-52.7,61.96758555,0.000260417910508,1.36462e-08
-52.8,-52.8,61.16637895,0.000267284920647,7.924364e-09
-52.9,-52.9,60.08838359,0.000276961215913,7.819212e-09
-53.0,-53.0,59.05175236,0.000286770464877,2.792338e-08
-53.1,-53.1,57.50980796,0.000302354311026,1.579301e-08
-53.2,-53.2,55.9376776,0.000319588495268,1.488693e-08
-53.3,-53.3,54.00487532,0.000342873613526,3.042323e-08
-53.4,-53.4,50.86801055,0.000386465290311,8.740577e-09
-53.5,-53.5,47.32357442,0.000446524116449,1.907838e-08
-53.6,-53.6,41.50740499,0.000580428641896,5.321876e-09
-53.7,-53.7,35.31308215,0.00080191576333,1.784852e-08
-53.8,-53.8,27.1553022,0.00135609688858,1.962411e-08
-53.9,-53.9,21.28985778,0.00220624876401,1.577598e-08
-54.0,-54.0,16.64274103,0.00361035817403,1.158789e-08
-54.1,-54.1,14.41690785,0.00481122596915,3.54622e-08
-54.2,-54.2,12.70227112,0.00619779551877,2.440665e-08
-54.3,-54.3,11.71672293,0.00728429758647,1.991626e-08
-54.4,-54.4,10.82237754,0.0085379702941,2.325615e-08
-54.5,-54.5,10.23444651,0.00954709576635,3.67169e-08
-54.6,-54.6,9.663113122,0.0107094180686,1.013373e-08
-54.7,-54.7,9.254169209,0.0116768345771,2.847455e-08
-54.8,-54.8,8.907403014,0.0126036923964,3.089788e-08
-54.9,-54.9,8.556738764,0.0136578850595,3.406781e-08
-55.0,-55.0,8.285229237,0.0145676984124,1.714172e-08
-55.1,-55.1,8.002948462,0.0156134889344,2.714718e-08
-56.1,-56.1,6.455813963,0.0239937420914,-1.695217e-07
-57.1,-57.1,5.661061107,0.0312035721492,-1.635104e-07
-58.1,-58.1,5.166984965,0.0374563629225,-1.728859e-07
-59.1,-59.1,4.852641303,0.0424662213627,-1.784134e-07
-60.1,-60.1,4.661543757,0.0460193488754,-1.775624e-07
-61.1,-61.1,4.568754444,0.0479075946749,-1.893476e-07
-62.1,-62.1,4.524983657,0.0488389108252,-1.988361e-07
-63.1,-63.1,4.503033372,0.0493162072397,-1.973195e-07
-64.1,-64.0,4.492535418,0.0495469563016,-2.0137e-07
-65.1,-65.0,4.483720428,0.0497419663439,-2.142636e-07
-66.1,-66.1,4.478450307,0.0498591052678,-2.132175e-07
-67.1,-67.1,4.472561763,0.0499904800033,-2.254228e-07
-68.1,-68.1,4.469585809,0.0500570718095,-3.034991e-07
-69.1,-69.1,4.466358987,0.0501294276635,-1.765503e-07
